Image name ,Row x Col ,ROI ID ,# Colonies ,Mean size (pixels^2) ,Background ,Resolution ,Operator name ,Experiment name ,NICE launched ,Counted time ,Notes 
001-q12040401 , 1x 1 ,1 ,129 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:53:28 ,none 
002-q12040402 , 1x 1 ,1 ,207 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:53:32 ,none 
003-q12040403 , 1x 1 ,1 ,204 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:53:36 ,none 
004-q12040404 , 1x 1 ,1 ,189 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:53:41 ,none 
005-q12040405 , 1x 1 ,1 ,143 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:53:45 ,none 
006-q12040406 , 1x 1 ,1 ,1210 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:53:49 ,none 
007-q12040407 , 1x 1 ,1 ,1264 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:53:54 ,none 
008-q12040408 , 1x 1 ,1 ,82 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:53:58 ,none 
009-q12040409 (1) , 1x 1 ,1 ,132 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:54:02 ,none 
010-q12040409 (2) , 1x 1 ,1 ,96 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:54:06 ,none 
011-q12040409 (3) , 1x 1 ,1 ,75 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:54:10 ,none 
012-q12040409 (4) , 1x 1 ,1 ,162 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:54:15 ,none 
013-q12040409 (5) , 1x 1 ,1 ,96 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:54:19 ,none 
014-q12040409 (6) , 1x 1 ,1 ,332 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:54:23 ,none 
015-q12040409 (7) , 1x 1 ,1 ,480 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:54:27 ,none 
016-q12040409 (8) , 1x 1 ,1 ,606 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:54:31 ,none 
017-q12040409 (9) , 1x 1 ,1 ,324 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:54:36 ,none 
018-q12040409 , 1x 1 ,1 ,184 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:54:40 ,none 
019-q12040419 , 1x 1 ,1 ,315 , ,Otsu ,Medium ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:54:44 ,none 
020-q12040401 , 1x 1 ,1 ,83 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:04 ,none 
021-q12040402 , 1x 1 ,1 ,151 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:08 ,none 
022-q12040403 , 1x 1 ,1 ,129 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:12 ,none 
023-q12040404 , 1x 1 ,1 ,130 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:17 ,none 
024-q12040405 , 1x 1 ,1 ,73 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:21 ,none 
025-q12040406 , 1x 1 ,1 ,1096 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:25 ,none 
026-q12040407 , 1x 1 ,1 ,1157 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:30 ,none 
027-q12040408 , 1x 1 ,1 ,29 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:34 ,none 
028-q12040409 (1) , 1x 1 ,1 ,68 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:38 ,none 
029-q12040409 (2) , 1x 1 ,1 ,42 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:42 ,none 
030-q12040409 (3) , 1x 1 ,1 ,34 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:46 ,none 
031-q12040409 (4) , 1x 1 ,1 ,58 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:50 ,none 
032-q12040409 (5) , 1x 1 ,1 ,31 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:55 ,none 
033-q12040409 (6) , 1x 1 ,1 ,224 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:55:59 ,none 
034-q12040409 (7) , 1x 1 ,1 ,378 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:56:03 ,none 
035-q12040409 (8) , 1x 1 ,1 ,534 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:56:07 ,none 
036-q12040409 (9) , 1x 1 ,1 ,265 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:56:12 ,none 
037-q12040409 , 1x 1 ,1 ,52 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:56:16 ,none 
038-q12040419 , 1x 1 ,1 ,231 , ,Otsu ,High ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:56:20 ,none 
039-q12040401 , 1x 1 ,1 ,360 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:56:47 ,none 
040-q12040402 , 1x 1 ,1 ,446 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:56:51 ,none 
041-q12040403 , 1x 1 ,1 ,499 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:56:56 ,none 
042-q12040404 , 1x 1 ,1 ,392 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:00 ,none 
043-q12040405 , 1x 1 ,1 ,412 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:04 ,none 
044-q12040406 , 1x 1 ,1 ,1422 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:09 ,none 
045-q12040407 , 1x 1 ,1 ,1501 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:14 ,none 
046-q12040408 , 1x 1 ,1 ,357 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:18 ,none 
047-q12040409 (1) , 1x 1 ,1 ,422 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:23 ,none 
048-q12040409 (2) , 1x 1 ,1 ,375 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:27 ,none 
049-q12040409 (3) , 1x 1 ,1 ,279 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:31 ,none 
050-q12040409 (4) , 1x 1 ,1 ,438 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:35 ,none 
051-q12040409 (5) , 1x 1 ,1 ,426 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:40 ,none 
052-q12040409 (6) , 1x 1 ,1 ,680 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:44 ,none 
053-q12040409 (7) , 1x 1 ,1 ,794 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:48 ,none 
054-q12040409 (8) , 1x 1 ,1 ,846 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:53 ,none 
055-q12040409 (9) , 1x 1 ,1 ,587 , ,Otsu ,Low ,none ,none ,05-Apr-2012 10:52:48 ,05-Apr-2012 10:57:57 ,none 
