plate	Superman	Louise	Pip	Jen	Becky	John	Helen	Dav	OCFU3-WC-7	OCFU3-HD-12	OCFU3NoMask-HD	IJ-205	IJ-205NoMask	IJ-205-WC	Nice-High-Mask	Nice-High-noMask	Nice-Low-WC	OCFU-HD-12-shift	IJ-205-shift	Nice-High-Shift
S	207	207	202	211	204	206	207	216	201	203	196	201	332	188	196	231	184	203	218	204
R	257	259	248	260	245	258	257	251	246	256	246	238	465	227	230	265	217	256	271	236
Q	525	543	525	549	502	521	539	516	508	524	511	493	645	466	493	534	439	525	512	500
P	359	364	351	359	344	363	361	344	349	359	347	332	619	311	326	378	296	357	415	346
O	211	211	210	212	206	211	214	219	207	205	202	197	356	186	196	224	185	202	196	207
N	12	12	12	12	12	13	12	12	12	12	12	14	147	12	17	31	10	12	40	21
M	18	18	18	18	17	18	18	18	18	18	17	21	93	21	29	58	17	18	72	38
L	17	17	17	17	17	18	18	17	17	17	17	19	97	17	21	34	16	17	29	23
K	27	27	27	27	25	28	27	27	26	26	26	26	123	24	32	42	24	26	60	36
J	47	46	46	47	47	47	47	46	43	45	45	47	220	43	51	68	40	45	63	58
I	26	26	27	29	25	26	26	27	26	30	27	25	239	23	30	52	24	30	79	48
H	9	9	11	11	10	9	9	9	12	10	10	10	106	9	17	29	10	10	25	15
G	1193	1207	1119	1226	1110	1193	1202	1023	1067	1158	1142	1077	1271	947	1029	1157	888	1161	1098	1037
F	1090	1197	1011	1232	1061	1090	1099	909	1038	1122	1113	1042	1109	941	982	1096	847	1127	1058	971
E	56	57	59	58	54	55	56	52	57	55	55	56	150	53	60	73	55	55	80	70
D	103	103	100	107	102	104	104	103	102	103	96	93	169	89	91	130	84	103	98	95
C	107	109	107	111	107	107	106	108	105	103	103	106	237	99	105	129	98	103	120	126
B	129	130	123	137	126	129	129	123	122	124	117	118	222	116	119	151	105	123	155	128
A	69	69	69	69	69	69	69	68	68	69	67	65	53	67	64	83	60	69	86	69
