size	type	prog	t
400	scale	OpenCFU	53
600	scale	OpenCFU	100
800	scale	OpenCFU	165
1000	scale	OpenCFU	244
1200	scale	OpenCFU	325
1400	scale	OpenCFU	420
1600	scale	OpenCFU	534
1800	scale	OpenCFU	664
2000	scale	OpenCFU	794
2200	scale	OpenCFU	925
2400	scale	OpenCFU	1102
2600	scale	OpenCFU	1255
2800	scale	OpenCFU	1454
3000	scale	OpenCFU	1255
3200	scale	OpenCFU	1402
3400	scale	OpenCFU	1599
3600	scale	OpenCFU	1763
3800	scale	OpenCFU	1911
4000	scale	OpenCFU	2168
400	montage	OpenCFU	53
800	montage	OpenCFU	181
1200	montage	OpenCFU	386
1600	montage	OpenCFU	689
2000	montage	OpenCFU	1078
2400	montage	OpenCFU	1547
2800	montage	OpenCFU	2146
3200	montage	OpenCFU	2138
3600	montage	OpenCFU	2668
4000	montage	OpenCFU	3313
400	scale	NICE	NA
600	scale	NICE	NA
800	scale	NICE	NA
1000	scale	NICE	1000
1200	scale	NICE	2000
1400	scale	NICE	2000
1600	scale	NICE	3000
1800	scale	NICE	4000
2000	scale	NICE	4000
2200	scale	NICE	5000
2400	scale	NICE	6000
2600	scale	NICE	7000
2800	scale	NICE	8000
3000	scale	NICE	9000
3200	scale	NICE	10000
3400	scale	NICE	12000
3600	scale	NICE	13000
3800	scale	NICE	15000
4000	scale	NICE	15000
400	montage	NICE	NA
800	montage	NICE	NA
1200	montage	NICE	2000
1600	montage	NICE	3000
2000	montage	NICE	4000
2400	montage	NICE	6000
2800	montage	NICE	8000
3200	montage	NICE	10000
3600	montage	NICE	14000
4000	montage	NICE	16000
400	scale	IJ	335
600	scale	IJ	397
800	scale	IJ	596
1000	scale	IJ	636
1200	scale	IJ	774
1400	scale	IJ	922
1600	scale	IJ	1120
1800	scale	IJ	1364
2000	scale	IJ	1533
2200	scale	IJ	1858
2400	scale	IJ	2121
2600	scale	IJ	2445
2800	scale	IJ	2685
3000	scale	IJ	3125
3200	scale	IJ	3388
3400	scale	IJ	3770
3600	scale	IJ	4279
3800	scale	IJ	4667
4000	scale	IJ	5242
400	montage	IJ	335
800	montage	IJ	585
1200	montage	IJ	767
1600	montage	IJ	1219
2000	montage	IJ	1517
2400	montage	IJ	2178
2800	montage	IJ	2675
3200	montage	IJ	3529
3600	montage	IJ	4297
4000	montage	IJ	5270
